ID,ITEM,RESTAURANT,CATEGORY,DINING PLAN,LOCATION,DISNEY PARK,DESCRIPTION,PRICE,IS_DDP_SNACK
1,"Pineapple Upside-down Cake ,",Aloha Isle - Snacks,Snacks,Snack,Adventureland,Magic Kingdom,"Served with choice of DOLE Whip® Pineapple, DOLE Whip® Vanilla, or Swirl",$7.49,true
2,"Pineapple DOLE Whip® Cup,",Aloha Isle - Snacks,Ice Cream,Snack,Adventureland,Magic Kingdom,"choice of Pineapple DOLE Whip®, Vanilla DOLE Whip® or Swirl\nVegetarian",$5.99,true
3,"Pineapple Juice Float,",Aloha Isle - Snacks,Ice Cream,Snack,Adventureland,Magic Kingdom,"DOLE® Pineapple Juice served with a choice of Pineapple DOLE Whip®, Vanilla DOLE Whip® or Swirl\nVegetarian",$7.29,true
4,"Tropical Serenade Float,",Aloha Isle - Snacks,Ice Cream,,Adventureland,Magic Kingdom,"Pineapple-Orange-Guava Juice, Coconut Soft-serve, and an Upside-down Pineapple Cake Pop",$7.99,false
5,Coconut Cup,Aloha Isle - Snacks,Ice Cream,Snack,Adventureland,Magic Kingdom,Choice of Coconut or Coconut and DOLE Whip® Pineapple Swirl,$5.99,true
6,Bottled Water,Aloha Isle - Snacks,Beverages,Snack,Adventureland,Magic Kingdom,,$4.25,true
7,Pineapple Juice,Aloha Isle - Snacks,Beverages,Snack,Adventureland,Magic Kingdom,,$4.29,true
8,"Cheeseburger Spring Rolls,",Egg Roll Wagon - Snacks,Other,,Adventureland,Magic Kingdom,two; house-made,$9.49,false
9,Egg Roll Combo,Egg Roll Wagon - Snacks,Other,,Adventureland,Magic Kingdom,one of each type,$9.49,false
10,"Pepperoni and Cheese Spring Rolls,",Egg Roll Wagon - Snacks,Other,,Adventureland,Magic Kingdom,,$9.49,false
11,Breakfast Bagel Sandwich,Egg Roll Wagon - Snacks,Breakfast,,Adventureland,Magic Kingdom,"sausage, egg and cheddar served on a bagel",$7.25,false
12,Bottled Soft Drinks,Egg Roll Wagon - Snacks,Beverages,Snack,Adventureland,Magic Kingdom,"Coca-Cola, Diet Coke, Sprite",$5.50,true
13,Bottled Water,Egg Roll Wagon - Snacks,Beverages,Snack,Adventureland,Magic Kingdom,,$4.25,true
14,Smart Water,Egg Roll Wagon - Snacks,Beverages,Snack,Adventureland,Magic Kingdom,,$6.25,true
15,Safari Snack,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",Appetizers/Starters,,Adventureland,Magic Kingdom,Cucumbers and Carrots served with a Cucumber-Yogurt Dip,$3.25,false
16,Serengeti Salad,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",Appetizers/Starters,,Adventureland,Magic Kingdom,with fat-free ranch dressing,$3.25,false
17,Cola-Braised Barbecue Beef,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",Entrees,,Adventureland,Magic Kingdom,"Tender Beef with Coca-Cola® Barbecue Sauce featuring Coca-Cola® served with choice of two (2) Selections and choice of Small Lowfat Milk, Small DASANI® Bottled Water, or Small Minute Maid® Apple Juice",$13.50,false
18,"Junior Skip's Mac and Cheese,","Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",Entrees,,Adventureland,Magic Kingdom,,$11.50,false
19,Chef Tandaji's Crispy Chicken,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",Entrees,,Adventureland,Magic Kingdom,,$12.50,false
20,Congo Connie's Coconut Curry Concoction,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",Entrees,,Adventureland,Magic Kingdom,"Served with Pineapple Tofu, Jasmine Rice",$13.50,false
21,Grilled Chicken,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",Entrees,,Adventureland,Magic Kingdom,,$12.50,false
22,"Volcano Cake,","Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",entrees,,Adventureland,Magic Kingdom,Gooey chocolate cake with caramel lava and exploding chocolate rocks,,false
23,Seasonal Fruit,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",entrees,,Adventureland,Magic Kingdom,,,false
24,Chocolate-covered Banana Pieces,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",entrees,,Adventureland,Magic Kingdom,,,false
25,Mashed Potatoes,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",entrees,,Adventureland,Magic Kingdom,,,false
26,Jasmine Rice,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",entrees,,Adventureland,Magic Kingdom,,,false
27,Seasonal Veggies,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",entrees,,Adventureland,Magic Kingdom,,,false
28,Specialty Character Drink,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",Specialty Beverages (non-alcoholic),,Adventureland,Magic Kingdom,Minute Maid® Zero Sugar Lemonade with flavors of Cotton Candy served in a souvenir Character Cup,$7.00,false
29,Panna-Connie's Congo Lime Delight,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Dessert,,Adventureland,Magic Kingdom,Lime 'Panna Cotta' served with Mango-Lime Sorbet and Fresh Fruit\nVegetarian,$9.50,false
30,"""Mystic Treasure""","Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Dessert,,Adventureland,Magic Kingdom,"Kalamansi Namelaka, Mango Crémeux, and House-made Graham Cracker",$9,false
31,Brigadeiro Prestígio,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Dessert,,Adventureland,Magic Kingdom,"Dark Chocolate Ganache Tart, Coconut Mousse, and Salted Dulce de Leche",$9.500,false
